webid,datetime,os,browser,response_time_ms,product,url
S_81,2019-08-19 12:03:34,linux,Safari,791,Fashion,https://www.ucshopping.com/content/ucshopping-ux/en/structured/module/carousel/carousel-single-images/_jcr_content/module.html
W_77,2019-08-19 12:03:47,xp,Safari,6251,Accessories,https://static.ucshoppingcdn.com/content/geo-images/images/background.tablet.day.8.jpeg/default.jpeg
R_60,2019-08-19 12:03:49,nt,Mobile,3847,Fashion,https://resources.ucshopping.com/commonui/stylesheets/ucshopping3-responsive.css
W_82,2019-08-19 12:04:01,win7,Safari,4550,Shoes,https://rrc.rlcdn.com/452549.gif
W_51,2019-08-19 12:04:03,win8,Chrome,656,Shoes,https://static.ucshoppingcdn.com/web/2017.08.27-1385/dashboard/js/view/webspec/common/siteMaintenanceCommunication.js
W_34,2019-08-19 12:04:07,win7,IE,1400,Accessories,https://static.ucshoppingcdn.com/web/2017.08.27-1385/appkit-utilities/dist/appkit-utilities/js/analytics/data/hooks.js
R_88,2019-08-19 12:04:13,Mac,Mobile,5969,Sports,https://static.ucshoppingcdn.com/content/videos/digital-ui/en/categories/features.json
R_66,2019-08-19 12:04:27,win7,Chrome,4662,Fashion,https://static.ucshoppingcdn.com/content/resource-bundles/digital-ui/1-8-0-23/en/bundles.json/profile.json
W_21,2019-08-19 12:04:28,win7,Firefox,5159,Shoes,https://static.ucshoppingcdn.com/content/site-messages/digital-ui/en/messages.json
W_81,2019-08-19 12:04:30,win7,Chrome,5666,Fashion,https://static.ucshoppingcdn.com/web/library/blue-boot/dist/blue-boot/2.11.1/js/main-ver.js
W_50,2019-08-19 12:04:44,win7,Chrome,7896,Fashion,https://static.ucshoppingcdn.com/web/library/blue-vendor/dist/blue-vendor/2.8.1/js/main.js
W_31,2019-08-19 12:06:29,win7,Mobile,5170,Sports,https://mfasa.ucshopping.com/auth/js/json.js
W_97,2019-08-19 12:07:34,win8,Firefox,829,Sports,https://static.ucshoppingcdn.com/content/services/structured-image/image.desktop.jpg/thought-leadership/article-image/retirement5strategies_858x483.jpg
R_84,2019-08-19 12:08:30,win7,IE,8458,Sports,https://poc.clixmetrix.com/B25E/3C6019F542CACC160CBD070CA2ED7FC9A3360CC1/collect;jsessionid=5ACDB22A18339328BC49A678223DC152
R_78,2019-08-19 12:08:33,win7,Mobile,3461,Fashion,https://ad.doubleclick.net/ddm/activity/src=2348471;dc_pre=CK7ssvnhoNYCFQXAZAodlZUMcQ;type=myacc170;cat=Chase0;u1=;u2=0576853413;u3=20C73196C512F020;u8=;u20=125832920;ord=244345734
R_86,2019-08-19 12:08:38,linux,Chrome,3854,Sports,https://static.ucshoppingcdn.com/web/library/blue-boot/dist/blue-boot/2.11.1/js/main-ver.js
R_77,2019-08-19 12:09:45,win7,Mobile,2685,Shoes,https://analytics.twitter.com/i/adsct
S_81,2019-08-19 12:09:50,xp,Safari,1720,Accessories,https://stags.bluekai.com/site/39254
W_86,2019-08-19 12:09:54,linux,Firefox,8503,Fashion,https://static.ucshoppingcdn.com/content/card/logo.gif/0459-1868.gif
W_91,2019-08-19 12:11:53,Mac,IE,801,Shoes,https://static.ucshoppingcdn.com/web/library/blue-view/dist/blue-view/2.8.1/js/main.js
W_53,2019-08-19 12:12:05,win7,Chrome,4300,Accessories,https://rf15.ucshopping.com/activity
W_7,2019-08-19 12:13:20,win7,Firefox,1268,Sports,https://static.ucshoppingcdn.com/web/library/blue-app/dist/blue-app/2.9.1/js/main.js
S_67,2019-08-19 12:14:17,win7,Firefox,1535,Fashion,https://static.ucshoppingcdn.com/content/card/logo.json/0459-1868.json
W_51,2019-08-19 12:14:34,win7,Chrome,2941,Accessories,https://static.ucshoppingcdn.com/content/card/logo.gif/0510-6654.gif
R_82,2019-08-19 12:14:37,win8,IE,2135,Accessories,https://ad.doubleclick.net/ddm/activity/src=2348471;dc_pre=CLrm2_zhoNYCFQvuZAodDC4DYg;type=myacc170;cat=accou0;u1=;u2=0576853413;u3=20C73196C512F020;u8=;u20=125832920;ord=694080873
W_81,2019-08-19 12:14:46,win7,Firefox,7705,Shoes,https://www.ucshopping.com/apps/services/tagmanager/cpo/markets/planningAndExpertise/request
S_37,2019-08-19 12:14:53,win8,Mobile,8368,Fashion,https://rf15.ucshopping.com/meta
W_24,2019-08-19 12:14:54,win7,Mobile,3046,Fashion,https://static.ucshoppingcdn.com/content/dam/cpo-static/images/ucshoppingfavicon.ico
W_43,2019-08-19 12:15:37,win7,Mobile,9023,Sports,https://poc.clixmetrix.com/B25E/3C6019F542CACC160CBD070CA2ED7FC9A3360CC1/
W_59,2019-08-19 12:15:40,win7,Mobile,4903,Sports,https://p.rfihub.com/cm
W_9,2019-08-19 12:15:59,win7,Chrome,4576,Accessories,https://analytics.twitter.com/i/adsct
R_3,2019-08-19 12:16:11,xp,IE,1854,Fashion,https://static.ucshoppingcdn.com/web/2017.08.27-1385/logonbox/js/boot.js
W_49,2019-08-19 12:16:37,win7,Chrome,4588,Fashion,https://static.ucshoppingcdn.com/content/thought-leadership/digital-ui/en/categories/latest-insights.json/CCI/BAC.json
S_23,2019-08-19 12:16:39,win7,Mobile,5595,Shoes,https://sites.ucshopping.com/services/creatives/private/native-dynamic-ads.json/content/Creatives/Private/NativeBanner/2017/Card/Multi-Card/50755_static_augustincomecapturenativebancwo5682.json
W_45,2019-08-19 12:17:00,win7,Firefox,5100,Fashion,https://static.ucshoppingcdn.com/content/services/structured-image/image.mega.png/carousels/slide/pb.png
W_2,2019-08-19 12:17:03,win7,Firefox,1467,Shoes,https://rf15.ucshopping.com/meta
W_46,2019-08-19 12:17:38,win7,Firefox,2298,Fashion,https://www.ucshopping.com/apps/ucshopping/clientlibs/foundation/tagmanagerextensions.js
R_63,2019-08-19 12:18:02,xp,Chrome,3155,Accessories,https://rf15.ucshopping.com/activity
W_26,2019-08-19 12:18:15,win7,Mobile,986,Fashion,https://sites.ucshopping.com/apps/campaignmanagement/clientlibs/slotplacement/js/adframework.min.js
W_39,2019-08-19 12:18:44,win7,Chrome,4226,Shoes,https://static.ucshoppingcdn.com/web/2017.08.27-1385/dashboard/assets/dashboard.css
S_89,2019-08-19 12:19:23,win7,Safari,4676,Accessories,https://www.ucshopping.com/apps/services/tagmanager/cpo/accounts/accounts
W_64,2019-08-19 12:19:43,linux,IE,1737,Accessories,https://ad.doubleclick.net/ddm/activity/src=2348471;type=myacc170;cat=accou0;u1=;u2=0576853413;u3=20C73196C512F020;u8=;u20=125832920;ord=694080873
R_40,2019-08-19 12:19:44,win7,IE,2447,Fashion,https://rf15.ucshopping.com/meta
W_89,2019-08-19 12:19:44,Mac,Mobile,4280,Sports,https://www.ucshopping.com/apps/services/tags/https/www.ucshopping.com/
W_27,2019-08-19 12:19:54,win7,Chrome,5499,Accessories,https://rf15.ucshopping.com/activity
W_65,2019-08-19 12:19:55,Mac,Chrome,1092,Accessories,https://mfasa.ucshopping.com/auth/js/json.js
W_46,2019-08-19 12:20:01,win7,Chrome,614,Fashion,https://t.co/i/adsct
S_44,2019-08-19 12:20:12,win7,IE,3041,Shoes,https://aa.agkn.com/adscores/g.pixel
W_39,2019-08-19 12:21:06,win7,IE,7023,Sports,https://static.ucshoppingcdn.com/content/dam/cpo-static/images/ucshopping-octogon-black.png
W_45,2019-08-19 12:22:07,win7,IE,1634,Sports,https://www.ucshopping.com/content/ucshopping-ux/en/structured/module/adtriplet/primary-triplet/_jcr_content/module.html
R_48,2019-08-19 12:22:40,win7,Firefox,2987,Accessories,https://rrc.rlcdn.com/395556.gif
R_87,2019-08-19 12:22:48,win7,Mobile,1737,Sports,https://static.ucshoppingcdn.com/content/dam/cpo-static/images/octogon-white.png
W_85,2019-08-19 12:23:51,win7,Chrome,1157,Fashion,https://static.ucshoppingcdn.com/content/resource-bundles/digital-ui/1-8-0-23/en/bundles.json/profile.json
W_51,2019-08-19 12:24:00,win8,Safari,2063,Accessories,https://static.ucshoppingcdn.com/web/2017.08.27-1385/logonbox/assets/logonbox.css
W_60,2019-08-19 12:25:14,win7,Mobile,5555,Shoes,https://static.ucshoppingcdn.com/content/geo-images/images/background.desktop.day.8.jpeg
R_81,2019-08-19 12:25:25,win7,IE,5125,Accessories,https://static.ucshoppingcdn.com/content/card/benefits-center/en/list.json
R_28,2019-08-19 12:25:36,win8,IE,3976,Accessories,https://ucshoppingonline.ucshopping.com/js/workflow.js
R_34,2019-08-19 12:25:46,win7,Chrome,3256,Fashion,https://sites.ucshopping.com/services/creatives/private/native-dynamic-ads.json/content/Creatives/Private/NativeBanner/2017/Card/Multi-Card/50755_static_augustincomecapturenativebancwo5682.json
W_29,2019-08-19 12:25:47,Mac,Mobile,2946,Sports,https://googleads.g.doubleclick.net/pagead/viewthroughconversion/1036322744/
W_25,2019-08-19 12:25:55,win7,Chrome,2028,Fashion,https://www.ucshopping.com/apps/services/tagmanager/cpo/markets/planningAndExpertise/request
W_46,2019-08-19 12:26:09,win7,Chrome,736,Sports,https://static.ucshoppingcdn.com/content/card/logo.json/0510-6654.json
W_25,2019-08-19 12:26:47,win7,Firefox,3682,Sports,https://static.ucshoppingcdn.com/content/resource-bundles/digital-ui/1-8-0-23/en/bundles.json/app.json
W_90,2019-08-19 12:27:11,Mac,Firefox,966,Fashion,https://pm.w55c.net/ping_match.gif
W_45,2019-08-19 12:27:40,linux,Chrome,8933,Sports,https://static.ucshoppingcdn.com/content/resource-bundles/digital-ui/1-8-0-23/en/bundles.json/PERSONAL/accounts.json
W_58,2019-08-19 12:27:49,win7,IE,6752,Fashion,https://static.ucshoppingcdn.com/web/library/blue-view/dist/blue-view/2.8.1/js/main.js
S_61,2019-08-19 12:28:00,win7,Opera,8489,Sports,https://www.ucshopping.com/apps/services/tagmanager/cpo/accounts/accounts
R_55,2019-08-19 12:28:32,win7,Firefox,4894,Sports,https://rf15.ucshopping.com/activity
W_2,2019-08-19 12:28:48,win7,Chrome,4646,Fashion,https://static.ucshoppingcdn.com/content/resource-bundles/digital-ui/1-8-0-23/en/bundles.json/app.json
W_29,2019-08-19 12:29:20,Mac,IE,8589,Sports,https://static.ucshoppingcdn.com/web/2017.08.27-1385/dashboard/js/view/accounts/mixins/printActivity.js
W_30,2019-08-19 12:30:23,win7,Chrome,3898,Accessories,https://resources.ucshopping.com/commonui/stylesheets/ucshopping3Nisi1.css
W_42,2019-08-19 12:30:56,win7,Chrome,2374,Accessories,https://p.rfihub.com/cm
W_73,2019-08-19 12:31:10,win7,IE,1042,Fashion,https://rc.rlcdn.com/395556.gif
W_99,2019-08-19 12:32:19,win7,Chrome,1750,Sports,https://resources.ucshopping.com/jpmcjs/json.js
W_77,2019-08-19 12:32:22,win8,Firefox,4010,Sports,https://static.ucshoppingcdn.com/web/library/blue-core/dist/blue/2.9.0/js/main.js
R_57,2019-08-19 12:32:46,xp,IE,2342,Shoes,https://aa.agkn.com/adscores/g.pixel
W_38,2019-08-19 12:33:12,win8,Chrome,624,Shoes,https://static.ucshoppingcdn.com/content/services/structured-image/image.desktop-small.jpg/videos/thumbnail/video-thumbnail-accounts-2560x1440.jpg
R_51,2019-08-19 12:34:09,xp,Firefox,6213,Fashion,https://static.ucshoppingcdn.com/content/card/logo.gif/0510-6654.gif
W_53,2019-08-19 12:34:39,win7,Chrome,6306,Sports,https://static.ucshoppingcdn.com/web/2017.08.27-1385/common/js/analytics/data/hooks.js
W_33,2019-08-19 12:34:46,xp,Chrome,2641,Accessories,https://static.ucshoppingcdn.com/content/card/logo.gif/0510-6654.gif
R_98,2019-08-19 12:35:08,win7,IE,510,Fashion,https://www.ucshopping.com/apps/services/tagmanager/cpo/accounts/accounts
R_24,2019-08-19 12:35:11,linux,Chrome,4334,Accessories,https://sites.ucshopping.com/content/services/structured-image/image.desktop.jpg/XCRT/Triplets/2017/Retail/50748_Checking_Overview_Desktop_Triplet_5676.jpg
W_70,2019-08-19 12:35:35,win7,IE,609,Shoes,https://analytics.twitter.com/i/adsct
W_9,2019-08-19 12:36:27,win7,Safari,8405,Fashion,https://static.ucshoppingcdn.com/web/2017.08.27-1385/common/assets/blue-ui.css
R_18,2019-08-19 12:36:38,win7,IE,4038,Shoes,https://static.ucshoppingcdn.com/web/2017.08.27-1385/logon/js/boot.js
W_28,2019-08-19 12:37:26,win8,Safari,865,Shoes,https://ucshoppingonline.ucshopping.com/Themes/default-col/css/style_new.css
R_8,2019-08-19 12:37:37,win7,Chrome,6895,Shoes,https://ad.doubleclick.net/activity;src=2299144;type=e-cus110;cat=credi749;u10=0576853413;u20=125832920;u18=20C73196C512F020;ord=152105518
W_90,2019-08-19 12:37:40,Mac,Chrome,9400,Sports,https://static.ucshoppingcdn.com/content/resource-bundles/digital-ui/1-8-0-23/en/bundles.json/convoDeck.json
W_4,2019-08-19 12:38:00,nt,Safari,7360,Accessories,https://ad.doubleclick.net/ddm/activity/src=2348471;type=myacc170;cat=accou0;u1=;u2=0576853413;u3=20C73196C512F020;u8=;u20=125832920;ord=313989536
R_86,2019-08-19 12:38:10,vista,Chrome,4736,Fashion,https://static.ucshoppingcdn.com/web/2017.08.27-1385/logonbox/js/boot.js
W_3,2019-08-19 12:39:12,nt,Chrome,7591,Fashion,https://ad.doubleclick.net/activity;dc_pre=CImdsO3hoNYCFQfBZAod6vYI5g;src=2299144;type=e-cus110;cat=credi749;u10=0576853413;u20=125832920;u18=20C73196C512F020;ord=152105518
R_72,2019-08-19 12:39:24,linux,Chrome,1657,Accessories,https://static.ucshoppingcdn.com/content/resource-bundles/digital-ui/1-8-0-23/en/bundles.json/payMultipleBills.json
R_80,2019-08-19 12:39:38,win7,Safari,1894,Fashion,https://t.co/i/adsct
W_42,2019-08-19 12:39:49,xp,Firefox,2102,Accessories,https://sites.ucshopping.com/services/creatives/private/native-dynamic-ads.json/content/Creatives/Private/NativeBanner/2017/CorpShared/49635_paperless_defaultnativebanner3559.json
R_13,2019-08-19 12:40:32,linux,IE,6425,Accessories,https://static.ucshoppingcdn.com/web/2017.08.27-1385/common/assets/fonts/dcefont.woff
R_62,2019-08-19 12:40:40,Mac,Chrome,690,Shoes,https://static.ucshoppingcdn.com/web/2017.08.27-1385/dashboard/assets/dashboard.css
W_36,2019-08-19 12:40:40,win7,Firefox,3608,Shoes,https://rf15.ucshopping.com/activity
W_12,2019-08-19 12:40:56,win7,Chrome,4124,Sports,https://resources.ucshopping.com/commonui/javascripts/nisi/nisi.js
W_79,2019-08-19 12:41:19,win7,Chrome,3104,Accessories,https://www.ucshopping.com/content/ucshopping-ux/en/structured/module/geoimage/ad-geo/_jcr_content/module.html
W_17,2019-08-19 12:41:43,win7,IE,2375,Shoes,https://static.ucshoppingcdn.com/content/card/logo.json/0510-6654.json
W_49,2019-08-19 12:41:46,win7,Mobile,1371,Accessories,https://www.ucshopping.com/
W_81,2019-08-19 12:41:53,win7,Firefox,5948,Shoes,https://mfasa.ucshopping.com/auth/alogin.jsp
S_89,2019-08-19 12:41:56,win7,Chrome,4488,Fashion,https://static.ucshoppingcdn.com/web/2017.08.27-1385/common/assets/blue-ui.css
W_45,2019-08-19 12:42:00,win7,IE,718,Fashion,https://static.ucshoppingcdn.com/web/library/blue-view/dist/blue-view/2.8.1/js/main.js
W_51,2019-08-19 12:42:25,xp,IE,1538,Sports,https://static.ucshoppingcdn.com/content/legal-disclaimers/digital-ui/en/categories/box-disclaimers.json
R_29,2019-08-19 12:42:32,Mac,Chrome,3303,Sports,https://static.ucshoppingcdn.com/content/services/structured-image/image.desktop.jpg/thought-leadership/article-image/anthonychanssummer-pe-image-858x483.jpg
W_28,2019-08-19 12:42:40,win7,Mobile,4059,Fashion,https://resources.ucshopping.com/commonui/stylesheets/fonts/opensans-regular.woff
W_77,2019-08-19 12:42:46,win7,Firefox,7250,Fashion,https://static.ucshoppingcdn.com/content/services/structured-image/image.desktop.jpg/thought-leadership/article-image/retirement5strategies_858x483.jpg
S_62,2019-08-19 12:43:04,win8,Chrome,6112,Sports,https://static.ucshoppingcdn.com/web/2017.08.27-1385/common/assets/blue-ui.css
W_25,2019-08-19 12:43:05,Mac,IE,6977,Shoes,https://rf15.ucshopping.com/activity
W_3,2019-08-19 12:43:15,win7,Mobile,2742,Fashion,https://ad.doubleclick.net/activity;src=2299144;type=e-cus110;cat=credi749;u10=0576853413;u20=125832920;u18=20C73196C512F020;ord=782673174
W_26,2019-08-19 12:43:20,linux,Firefox,2587,Sports,https://static.ucshoppingcdn.com/content/card/logo.json/0478-6621.json
W_92,2019-08-19 12:43:24,win7,Safari,5303,Fashion,https://ad.doubleclick.net/ddm/activity/src=2348471;dc_pre=CK32r-3hoNYCFU7gZAodetAMoA;type=myacc170;cat=Chase0;u1=;u2=0576853413;u3=20C73196C512F020;u8=;u20=125832920;ord=135946175
W_16,2019-08-19 12:43:41,win7,IE,2080,Sports,https://static.ucshoppingcdn.com/web/library/blue-boot/dist/blue-boot/2.11.1/js/boot.js
W_35,2019-08-19 12:44:09,Mac,Chrome,3272,Fashion,https://static.ucshoppingcdn.com/web/library/blue-core/dist/blue/2.9.0/js/main.js
W_55,2019-08-19 12:44:55,win7,Chrome,4588,Shoes,https://sites.ucshopping.com/content/services/structured-image/image.desktop.jpg/XCRT/Triplets/2017/Auto/A50759_IC3117_CAD_Phase2B_Triplet_384x216.jpg
W_62,2019-08-19 12:45:08,xp,IE,3284,Fashion,https://static.ucshoppingcdn.com/content/card/logo.json/0459-1868.json
W_61,2019-08-19 12:45:13,win8,Chrome,815,Accessories,https://static.ucshoppingcdn.com/content/services/structured-image/image.mega.png/carousels/slide/pb.png
W_52,2019-08-19 12:45:24,linux,IE,4966,Shoes,https://www.ucshopping.com/apps/services/tagmanager/cpo/markets/planningAndExpertise/category
W_67,2019-08-19 12:45:37,Mac,Opera,861,Sports,https://static.ucshoppingcdn.com/web/2017.08.27-1385/logonbox/assets/logonbox.css
W_9,2019-08-19 12:45:55,win7,Chrome,1550,Accessories,https://poc.clixmetrix.com/B25E/3C6019F542CACC160CBD070CA2ED7FC9A3360CC1/collect;jsessionid=5ACDB22A18339328BC49A678223DC152
W_69,2019-08-19 12:46:01,xp,Chrome,1084,Accessories,https://static.ucshoppingcdn.com/content/card/benefits-center/en/list.json
S_84,2019-08-19 12:46:12,linux,Chrome,598,Shoes,https://sites.ucshopping.com/services/creatives/private/native-dynamic-ads.json/content/Creatives/Private/NativeBanner/2017/CorpShared/49635_paperless_defaultnativebanner3559.json
W_93,2019-08-19 12:46:14,xp,Mobile,1999,Accessories,https://rc.rlcdn.com/395556.gif
W_92,2019-08-19 12:46:36,win7,Firefox,3331,Shoes,https://static.ucshoppingcdn.com/content/thought-leadership/digital-ui/en/categories/latest-insights.json/CCI/BAC.json
W_77,2019-08-19 12:47:13,win8,Firefox,3333,Shoes,https://mfasa.ucshopping.com/auth/js/plugin.min.js
W_34,2019-08-19 12:47:42,win7,Mobile,4935,Accessories,https://rf15.ucshopping.com/activity
W_70,2019-08-19 12:48:08,win7,Mobile,6697,Sports,https://static.ucshoppingcdn.com/content/services/structured-image/image.desktop.jpg/thought-leadership/article-image/socialsecurity_848x484.jpg
W_83,2019-08-19 12:48:24,win7,Firefox,1064,Fashion,https://resources.ucshopping.com/commonui/javascripts/nisi/ui/sendMessageClient.js
W_72,2019-08-19 12:48:31,win7,Chrome,8226,Sports,https://idsync.rlcdn.com/452549.gif
R_78,2019-08-19 12:49:03,win7,Mobile,1636,Fashion,https://static.ucshoppingcdn.com/content/resource-bundles/digital-ui/1-8-0-23/en/bundles.json/PERSONAL/app.json
W_5,2019-08-19 12:49:19,win7,Chrome,5533,Accessories,https://static.ucshoppingcdn.com/content/resource-bundles/digital-ui/1-8-0-23/en/bundles.json/PERSONAL/convoDeck.json
W_90,2019-08-19 12:49:30,win7,IE,2498,Sports,https://rf15.ucshopping.com/wsb/15629/poe/59242226
R_81,2019-08-19 12:49:37,win7,Chrome,4436,Shoes,https://ad.doubleclick.net/activity;src=2739079;type=ucshopping107;cat=inici575;ord=304051156
R_97,2019-08-19 12:49:40,linux,Mobile,5999,Sports,https://www.ucshopping.com/apps/services/tagmanager/cpo/documents/accountDocuments/statementsAndInserts/accounts
W_5,2019-08-19 12:50:03,win7,Chrome,3885,Fashion,https://ad.doubleclick.net/ddm/activity/src=2348471;dc_pre=CNrU1c_hoNYCFc6SZAodKH8LoQ;type=cpcod356;cat=cpcch0;u1=;u2=;u3=20C73196C512F020;u8=;u20=;ord=339580418
R_61,2019-08-19 12:50:44,xp,IE,1032,Shoes,https://i.liadm.com/s/31263
W_72,2019-08-19 12:50:47,win7,Firefox,6768,Fashion,https://ad.doubleclick.net/ddm/activity/src=2348471;dc_pre=CK32r-3hoNYCFU7gZAodetAMoA;type=myacc170;cat=Chase0;u1=;u2=0576853413;u3=20C73196C512F020;u8=;u20=125832920;ord=135946175
W_68,2019-08-19 12:50:59,win7,Firefox,9098,Sports,https://static.ucshoppingcdn.com/web/2017.08.27-1385/dashboard/assets/dashboard.css
W_12,2019-08-19 12:51:17,win7,Firefox,1394,Sports,https://ad.doubleclick.net/ddm/activity/src=2348471;dc_pre=CLrm2_zhoNYCFQvuZAodDC4DYg;type=myacc170;cat=accou0;u1=;u2=0576853413;u3=20C73196C512F020;u8=;u20=125832920;ord=694080873
W_23,2019-08-19 12:51:35,win7,Firefox,3192,Shoes,https://rf15.ucshopping.com/activity
W_65,2019-08-19 12:51:48,win8,Chrome,3759,Fashion,https://ad.doubleclick.net/activity;dc_pre=CL3esfnhoNYCFcLkZAodI-EFtg;src=2739079;type=ucshopping107;cat=inici575;ord=726447770
W_23,2019-08-19 12:51:53,win8,Chrome,3344,Sports,https://static.ucshoppingcdn.com/content/services/structured-image/image.desktop.jpg/thought-leadership/article-image/retirementcalculator_858x483_background.jpg
R_97,2019-08-19 12:51:56,win8,Firefox,3280,Sports,https://www.ucshopping.com/apps/services/tagmanager/cpo/balanceTransfers/balanceTransfer
S_82,2019-08-19 12:52:01,win8,Chrome,3605,Sports,https://ucshoppingonline.ucshopping.com/Themes/default-col/css/style_new.css
W_94,2019-08-19 12:52:10,xp,Firefox,3761,Shoes,https://static.ucshoppingcdn.com/web/library/blue-core/dist/blue/2.9.0/js/main.js
S_17,2019-08-19 12:52:34,win7,Chrome,3385,Accessories,https://sites.ucshopping.com/content/services/structured-image/image.banner.jpg/XCRT/Native/Banner/2017/STATIC_AD-A50755_Banner_NativeBanner_Image_90x90.jpg
R_79,2019-08-19 12:52:52,Mac,Chrome,2602,Shoes,https://www.ucshopping.com/apps/services/tagmanager/cpo/accounts/accounts
W_78,2019-08-19 12:53:03,win7,Chrome,1445,Sports,https://www.ucshopping.com/apps/services/tagmanager/cpo/customerService/helpAndSupport/accountHelpAndSupport
W_14,2019-08-19 12:53:05,win7,Chrome,516,Sports,https://stags.bluekai.com/site/51223
R_63,2019-08-19 12:53:51,Mac,IE,1927,Sports,https://poc.clixmetrix.com/B25E/3C6019F542CACC160CBD070CA2ED7FC9A3360CC1/user-prefs.js;jsessionid=5ACDB22A18339328BC49A678223DC152
W_67,2019-08-19 12:53:53,win7,Mobile,2592,Sports,https://resources.ucshopping.com/commonui/javascripts/nisi/ui/sendMessageClient.js
W_25,2019-08-19 12:53:58,win7,Mobile,1491,Fashion,https://static.ucshoppingcdn.com/web/library/blue-vendor/dist/blue-vendor/2.8.1/js/main.js
S_37,2019-08-19 12:54:17,win8,Mobile,3291,Fashion,https://static.ucshoppingcdn.com/web/library/blue-app/dist/blue-app/2.9.1/js/main.js
R_94,2019-08-19 12:54:25,win7,Chrome,5179,Shoes,https://www.ucshopping.com/c/082717/etc/designs/ucshopping-ux/css/fonts/opensans-semibold.woff
R_59,2019-08-19 12:54:26,win7,Mobile,2756,Fashion,https://aa.agkn.com/adscores/g.pixel
W_51,2019-08-19 12:55:07,Mac,Mobile,971,Sports,https://static.ucshoppingcdn.com/content/services/structured-image/image.desktop.jpg/thought-leadership/article-image/funding_education_858x483.jpg
R_3,2019-08-19 12:55:22,win7,Chrome,1906,Shoes,https://www.ucshopping.com/apps/services/tagmanager/cpo/customerService/helpAndSupport
S_79,2019-08-19 12:55:26,xp,Mobile,4174,Fashion,https://static.ucshoppingcdn.com/web/library/blue-boot/dist/blue-boot/2.11.1/js/boot.js
R_21,2019-08-19 12:55:46,win7,Firefox,6994,Shoes,https://static.ucshoppingcdn.com/content/resource-bundles/digital-ui/1-8-0-23/en/bundles.json/PERSONAL/accounts.json
W_94,2019-08-19 12:55:55,win7,IE,2327,Sports,https://rrc.rlcdn.com/395556.gif
W_67,2019-08-19 12:56:08,Mac,IE,5800,Sports,https://ucshoppingonline.ucshopping.com/Themes/default-col/css/style.css
W_90,2019-08-19 12:56:26,win8,IE,1338,Fashion,https://static.ucshoppingcdn.com/web/2017.08.27-1385/common/assets/fonts/video-icon.ttf
R_44,2019-08-19 12:57:00,linux,Chrome,1054,Sports,https://ad.doubleclick.net/ddm/activity/src=2348471;dc_pre=CNrU1c_hoNYCFc6SZAodKH8LoQ;type=cpcod356;cat=cpcch0;u1=;u2=;u3=20C73196C512F020;u8=;u20=;ord=339580418
R_84,2019-08-19 12:57:18,win7,IE,7405,Sports,https://static.ucshoppingcdn.com/web/library/blue-vendor/dist/blue-vendor/2.8.1/js/main.js
S_5,2019-08-19 12:57:52,Mac,Chrome,1121,Sports,https://static.ucshoppingcdn.com/web/library/blue-vendor/dist/blue-vendor/2.8.1/js/main.js
W_82,2019-08-19 12:58:08,win7,Chrome,1433,Shoes,https://www.ucshopping.com/c/082717/etc/designs/ucshopping-ux/css/fonts/smc.ttf
